"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Louth","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","All ages","Different Employer","Number","30"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Limerick","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","All ages","Same Employer","Number","41"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Leitrim","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Laois","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","All ages","Different Employer","Number","33"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Meath","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","All ages","Same Employer","Number","38"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Monaghan","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","All ages","Different Employer","Number","29"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Mayo","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","All ages","Different Employer","Number","30"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Offaly","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","All ages","Different Employer","Number","32"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Roscommon","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Sligo","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","All ages","Different Employer","Number","31"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Tipperary","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","All ages","Same Employer","Number","39"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","All ages","Different Employer","Number","29"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Waterford","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","All ages","Same Employer","Number","40"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","All ages","Different Employer","Number","29"
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Both sexes","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Male","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","All ages","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","All ages","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","Under 25 years","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","Under 25 years","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","25 years and over","Same Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Wicklow","Female","25 years and over","Different Employer","Number",""
"Median Age","2021Q2","No supports in current period and supports in previous period (t-1)","Co. Westmeath","Both sexes","All ages","Same Employer","Number","39"
